iter	Passed	Remaining
0	136	136539
1	138	69055
2	139	46414
3	141	35118
4	142	28344
5	143	23796
6	144	20553
7	146	18118
8	147	16223
9	148	14707
10	149	13471
11	151	12444
12	152	11582
13	153	10829
14	154	10172
15	156	9600
16	157	9107
17	158	8663
18	160	8269
19	161	7907
20	162	7579
21	163	7287
22	165	7023
23	166	6779
24	167	6549
25	169	6340
26	170	6142
27	171	5961
28	172	5788
29	174	5630
30	212	6647
31	214	6483
32	215	6320
33	216	6165
34	218	6017
35	219	5877
36	220	5744
37	222	5623
38	223	5506
39	224	5395
40	226	5289
41	227	5187
42	228	5089
43	229	4995
44	231	4909
45	232	4824
46	233	4743
47	235	4665
48	236	4590
49	237	4519
50	239	4451
51	240	4384
52	241	4319
53	242	4256
54	244	4196
55	245	4140
56	246	4083
57	248	4031
58	249	3979
59	250	3928
60	251	3878
61	253	3833
62	254	3786
63	255	3740
64	257	3696
65	258	3653
66	259	3612
67	259	3563
68	261	3523
69	262	3485
70	263	3447
71	264	3411
72	265	3375
73	267	3346
74	268	3313
75	269	3281
76	271	3249
77	272	3218
78	273	3188
79	274	3160
80	276	3132
81	277	3104
82	278	3077
83	279	3050
84	280	3020
85	282	2999
86	283	2972
87	284	2950
88	285	2926
89	287	2903
90	288	2880
91	289	2858
92	290	2837
93	292	2815
94	293	2794
95	294	2774
96	295	2753
97	297	2733
98	298	2714
99	299	2694
100	300	2675
101	301	2651
102	302	2633
103	303	2615
104	304	2597
105	305	2579
106	307	2562
107	308	2545
108	309	2529
109	310	2513
110	311	2497
111	313	2482
112	314	2467
113	315	2452
114	316	2436
115	317	2420
116	318	2406
117	320	2392
118	321	2376
119	322	2362
120	323	2349
121	324	2336
122	325	2320
123	326	2307
124	327	2294
125	329	2282
126	330	2270
127	331	2255
128	332	2243
129	333	2231
130	334	2219
131	335	2207
132	336	2196
133	338	2185
134	339	2174
135	340	2163
136	341	2152
137	342	2140
138	343	2129
139	344	2119
140	346	2108
141	347	2098
142	348	2088
143	349	2078
144	350	2068
145	352	2059
146	353	2051
147	354	2041
148	355	2032
149	356	2022
150	358	2013
151	359	2004
152	360	1995
153	361	1986
154	362	1977
155	363	1969
156	365	1960
157	366	1951
158	367	1944
159	368	1937
160	370	1930
161	371	1923
162	373	1916
163	374	1910
164	375	1902
165	377	1894
166	378	1887
167	379	1879
168	380	1871
169	381	1864
170	382	1856
171	384	1849
172	385	1841
173	386	1834
174	387	1827
175	388	1820
176	389	1813
177	391	1806
178	392	1799
179	393	1792
180	394	1783
181	395	1776
182	396	1770
183	397	1763
184	398	1756
185	399	1750
186	401	1743
187	402	1737
188	403	1730
189	404	1724
190	405	1717
191	406	1711
192	407	1705
193	409	1699
194	410	1694
195	411	1688
196	412	1682
197	413	1676
198	414	1670
199	416	1664
200	417	1658
201	418	1653
202	419	1647
203	420	1641
204	421	1636
205	423	1630
206	424	1625
207	425	1620
208	426	1614
209	427	1609
210	428	1603
211	430	1598
212	431	1593
213	432	1588
214	433	1583
215	434	1578
216	436	1573
217	437	1568
218	438	1563
219	439	1558
220	440	1553
221	441	1548
222	443	1543
223	444	1538
224	445	1534
225	446	1529
226	447	1524
227	448	1519
228	449	1514
229	450	1509
230	452	1504
231	453	1500
232	454	1496
233	455	1491
234	456	1486
235	457	1482
236	458	1477
237	460	1473
238	461	1468
239	462	1463
240	463	1459
241	464	1454
242	465	1450
243	467	1447
244	468	1443
245	469	1438
246	470	1434
247	471	1430
248	472	1426
249	473	1421
250	475	1418
251	476	1413
252	477	1409
253	478	1405
254	479	1401
255	480	1397
256	482	1393
257	483	1390
258	484	1386
259	485	1382
260	486	1378
261	487	1374
262	489	1370
263	490	1366
264	491	1362
265	492	1359
266	493	1355
267	494	1351
268	496	1350
269	498	1347
270	499	1344
271	500	1340
272	502	1336
273	503	1333
274	504	1330
275	505	1326
276	506	1323
277	508	1319
278	509	1316
279	510	1313
280	512	1310
281	513	1306
282	514	1303
283	515	1299
284	516	1296
285	517	1292
286	519	1289
287	520	1286
288	521	1282
289	522	1279
290	523	1276
291	525	1273
292	526	1270
293	527	1267
294	528	1263
295	530	1260
296	531	1257
297	532	1254
298	533	1250
299	534	1247
300	535	1244
301	537	1241
302	538	1237
303	539	1235
304	540	1232
305	541	1228
306	543	1225
307	544	1222
308	545	1219
309	546	1216
310	547	1213
311	548	1210
312	550	1207
313	551	1203
314	552	1200
315	558	1208
316	559	1205
317	560	1202
318	561	1199
319	563	1196
320	564	1193
321	565	1190
322	566	1186
323	567	1184
324	568	1181
325	570	1178
326	571	1175
327	572	1172
328	573	1169
329	574	1166
330	576	1164
331	577	1161
332	578	1158
333	579	1155
334	580	1153
335	582	1150
336	583	1147
337	584	1145
338	585	1142
339	587	1139
340	588	1137
341	589	1134
342	590	1131
343	591	1128
344	592	1125
345	593	1122
346	595	1119
347	596	1117
348	597	1114
349	598	1111
350	599	1108
351	600	1106
352	601	1103
353	603	1100
354	604	1097
355	605	1094
356	606	1091
357	607	1089
358	608	1086
359	609	1083
360	611	1081
361	612	1078
362	613	1076
363	614	1073
364	615	1070
365	616	1068
366	617	1065
367	618	1063
368	620	1060
369	621	1057
370	622	1055
371	623	1053
372	625	1050
373	626	1048
374	627	1045
375	628	1043
376	629	1040
377	631	1038
378	632	1035
379	633	1033
380	634	1030
381	635	1027
382	636	1025
383	637	1023
384	639	1020
385	640	1018
386	641	1016
387	642	1013
388	643	1011
389	645	1008
390	646	1006
391	647	1003
392	648	1001
393	649	999
394	650	996
395	651	994
396	653	991
397	654	989
398	655	987
399	657	985
400	658	983
401	659	981
402	660	979
403	662	976
404	663	974
405	664	972
406	665	969
407	666	967
408	667	964
409	668	962
410	670	960
411	671	957
412	672	955
413	673	953
414	674	951
415	675	948
416	676	946
417	677	943
418	679	941
419	680	939
420	681	937
421	682	935
422	684	933
423	685	931
424	686	929
425	687	926
426	688	924
427	690	922
428	691	919
429	692	917
430	693	915
431	694	913
432	695	910
433	696	908
434	698	906
435	699	904
436	700	902
437	701	900
438	702	898
439	703	895
440	705	893
441	706	891
442	707	889
443	708	887
444	709	885
445	711	883
446	712	881
447	713	879
448	714	876
449	715	874
450	716	872
451	717	870
452	719	868
453	720	866
454	721	864
455	722	861
456	723	859
457	724	857
458	726	855
459	727	854
460	729	852
461	730	850
462	732	849
463	733	847
464	734	845
465	735	842
466	736	840
467	737	838
468	739	836
469	740	834
470	741	832
471	742	830
472	743	828
473	744	826
474	745	824
475	747	822
476	748	820
477	749	818
478	750	816
479	751	814
480	752	812
481	753	810
482	755	808
483	756	806
484	757	804
485	758	802
486	759	800
487	760	798
488	761	796
489	763	794
490	764	792
491	765	790
492	766	788
493	767	786
494	769	784
495	770	782
496	771	780
497	772	779
498	773	777
499	775	775
500	776	773
501	777	771
502	778	769
503	779	767
504	780	765
505	782	763
506	783	761
507	786	761
508	787	759
509	788	757
510	789	755
511	790	753
512	792	752
513	793	750
514	794	748
515	795	746
516	796	744
517	797	742
518	798	740
519	800	738
520	801	736
521	802	734
522	803	732
523	804	730
524	805	729
525	806	727
526	808	725
527	809	723
528	810	721
529	811	719
530	812	717
531	813	716
532	815	714
533	816	712
534	817	710
535	819	709
536	820	707
537	821	705
538	822	703
539	823	701
540	825	700
541	826	698
542	827	696
543	829	695
544	830	693
545	831	691
546	832	689
547	833	687
548	834	685
549	836	684
550	837	682
551	838	680
552	839	678
553	840	676
554	842	675
555	843	673
556	844	671
557	845	669
558	846	667
559	847	666
560	848	664
561	849	662
562	851	660
